BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33129.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,28 - VANDALISM,33136.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33150.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33126.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,22 - STOLEN VEHICLE,33145.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33133.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,28 - VANDALISM,33137.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,26 - BURGLARY,33142.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33134.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,28 - VANDALISM,33138.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33130.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27V - LARCENY THEFT - MOTOR VEHICLE,33137.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33131.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33131.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33127.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33133.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33142.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27R - LARCENY THEFT – RETAIL,33133.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27 - LARCENY THEFT,33142.0
2024-03-06,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-03-06,27V - LARCENY THEFT - MOTOR VEHICLE,33127.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33126.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27 - LARCENY THEFT,33142.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27 - LARCENY THEFT,33150.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33126.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33142.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,28 - VANDALISM,33136.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27V - LARCENY THEFT - MOTOR VEHICLE,33132.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,26 - BURGLARY,33135.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,27R - LARCENY THEFT – RETAIL,33132.0
2024-05-21,Thunderstorm Wind,MIAMI-DADE,FLORIDA,2024-05-21,22 - STOLEN VEHICLE,33129.0
